sample_HFS166	sample_HFS167	sample_HFS168	sample_HFS169	sample_HFS170	sample_HFS207	sample_HFS208	sample_HFS209	sample_HFS210	sample_HFS223	sample_HFS224	sample_HFS225	sample_HFS226	sample_HFS227	sample_HFS268	sample_HFS269	sample_HFS270	sample_HFS271	sample_HFS272	sample_HFS318	sample_HFS319	sample_HFS320	sample_HFS321	sample_HFS322
CBLL1	10.95649	5.764692	5.3247	6.364981	5.391706	6.548593	8.415400321357	7.3820300116595	8.496181	9.05171	5.177817	7.34263	7.597703	6.31012	5.24792	2.5413204291	3.11997	5.045472	4.271038	10.728623	7.02980000130127	6.15831	2.977003	4.09971800817892
CBLN1	0.373377	0.378668	0.172159	0.258224	0.244497	0.058068	0.229029	0.116857	0.135047	0.33053	0.291478	0.305868	0.079033	0.595714	0.172128	0.569179	0.731152	0.828831	0.385702	0.846281	0.487101	0.541483	0.579057	0.356736
CBLN2	0.457843	0.397978	0.11535	0.389411	0.286601	0.311119	0.153222	0.117365	0.270647	0.308997	0.682296	0.30789	0.159204	0.248866	0.460925	0.725375	0.265133	0.70288	0.663541	0.878818	1.12191	0.886427	0.38736	0.6768
CBLN3	0	0.143002	0	0.510906	0.0806721	0.153658	0	0	0.0893506	0	0.192634	0.202316	0.208775	0	0.151534	0.150323	0.221536	0.145922	0	0.249022	0.0715497	0.317685	0.0850245	0
CBLN4	0	0	0.0876569	0.160468	0	0.116353	0.4065	0	0.482861	0	0.0907099	0.0952495	0	0	0.142744	0.417135	0.0595501	0.168555	0.305136	0	0.173352	0.453391	0	0.0739471
CBR4	14.7707	10.0778	12.4673	10.7311	13.1018	13.631	18.8307	13.7584	16.9716	11.8472	19.9256	12.9993	18.2654	14.6687	21.7775	12.1252	16.5579	17.0744	16.3831	15.8672	20.0088	21.5603	10.7264	12.9292
CBS	900.65017	534.6427	566.9521	644.10448	782.04903	695.27063	787.6321	707.77508	640.5413	882.40396	1052.0929	966.38183	911.75255	867.98557	1075.60979	1075.83914	1492.3141	1169.444	1166.65435	910.4877	856.7255	783.97156	1324.6043	1129.12288
CBX1	31.0457	27.1479	29.4624	25.16484	23.46388	25.48401	23.56487	22.55825	29.41884	29.11782	26.93798	27.62022	27.4284	23.60125	25.1867	22.33653	15.76755	24.2087	21.69261	23.19892	22.87772	24.41685	19.72102	17.8322
CBX2	0.207138	0.840238	1.78704	1.22107	1.73283	0.0643346	0.571946	0.259689	0.635775	0.695265	0.889289	0.974466	1.09713	0.660398	1.52972	0.758758	1.13366	0.951528	0.917362	0.182112	0.510265	1.47112	0.642617	0.99103
CBX3	62.01626	40.20872	43.33998	35.80085	43.5691	43.39385	39.88948	38.52554	53.81987	58.34646	52.46916	48.4936	53.48387	47.63392	41.22242	27.16981	27.51185	35.80863	38.87727	52.96697	57.1855	39.47717	33.44515	29.80019
CBX4	17.5185	6.65958	8.25021	6.78955	9.03729	9.7643	8.0839	29.3173	14.0672	12.0883	8.01386	9.84826	12.0695	10.997	10.6948	13.7877	10.5636	10.0731	9.18159	26.6751	16.0781	12.1063	11.1958	11.8651
CBX5	2.149073319589	2.2004	1.70101	1.6987	1.586243164	1.18757	1.70982	1.464422	2.009	2.6453	2.25939	2.8745	2.27033	2.180861	1.639824	1.60744	1.1926272703048	2.12412	1.922706	1.9409074606099	2.444414	1.94219	1.67407	1.48121
CBX6	6.24128	2.345267	4.09658	4.84973	2.465808	1.648117	4.40066	3.291952	2.67844	7.5658	5.71326	4.7132	4.596873	4.51016	5.47765	6.11927	3.75184	6.00808	4.83117	3.012411	3.66304	2.62566	4.22196	4.66977
CBX7	8.05679	4.39558	5.339525	5.02598	4.4339	5.49055	4.466292	5.93693	3.94709	5.98011	3.59357	4.9067	4.283521	3.604679	5.62078	4.821763	3.697921	3.890916	4.85561	4.579897	6.51959	3.88049	6.34132	3.71778
CBX8	2.03468	2.81176	3.41881	3.90072	3.3333	3.84387	3.88867	3.13666	5.71416	4.20864	2.26032	2.81945	3.24777	1.56023	3.70551	2.72115	2.55472	3.52234	1.84801	2.63844	5.35355	3.58348	3.29061	2.94253
CBY1	6.74467	8.20955	10.0133	11.1273	14.8721	5.85461	11.1626	10.6745	10.4162	8.90112	10.9156	14.6571	15.5433	9.99723	26.5007	18.5698	13.1477	17.915	13.6709	7.9196	12.3808	14.5292	13.4338	14.0136
CBY2	0	0	0.267918	0	0	0.0908025	0	0.0910327	0	0	0	0	0	0	0	0	0.0867827	0	0.687722	0.0736223	0.253534	0	0	0.18525
CBY3	0	0	0.208304	0	0.109783	0	0.102075	0	0.374446	0.118376	0	0	0	0.139491	0.103095	0	0.102387	0	0	0.173766	0	0	0	0
CC2D1A	5.95773	5.90442	7.49302	7.877444	7.108511	5.71588	6.497018	5.462425	5.64569	8.04751	6.76768	8.15155	6.286116	5.48401	10.108709	9.35996	9.52422	10.17269	6.86001	6.932488	7.1508	7.81987	9.71815	8.26891
CC2D1B	13.404937	9.86432	9.842107	10.34979	9.77864	10.61323	10.074778	11.01832	10.81769	11.22042	8.86889	8.766893	11.20261	7.202317	15.77286	12.90637	15.567567	14.325904	11.579991	9.86364	11.66476	11.22776	15.134184	14.65627
CC2D2A	0.4014175	0.256131	0.41947137	0.25969508	0.247521	0.140142	0.138572	0.141687	0.0736136	0.3540636	0.235015	0.3614422	0.10747401	0.1625411	0.35590232	0.3679013	0.6019962	0.20837162	0.3259969	0.30200946	0.348968	0.35149595	0.1729798	0.4004942
CC2D2B	0.0200893	0	0.0929623	0.0418584	0.019792	0.0374085	0	0.0189037	0	0	0.023521	0	0.0510991	0	0.0185566	0	0.0184135	0	0	0	0.0174634	0	0	0
CCAR1	11.20972	8.71577	9.51799103422	10.337732	8.511305	10.56258	11.524502	10.09579	12.12681	14.00043	11.494643	9.12282	11.69858	10.972812	6.85824	5.97056	4.88901	9.25645	9.035898	8.63482	8.15472	7.6090800391098	8.80488	4.64178
CCAR2	21.21618	16.18315	20.52111	20.50984	16.86851	17.31492	17.48014	14.82548	19.20704	17.69943	16.71764	19.30345	16.19278	15.18863	20.01254	20.27119	21.82014	21.25467	18.36518	15.95921	15.49396	17.12294	19.40184	15.11549
CCBE1	1.97736	3.19061	1.58287	1.87679	1.58497	0.876251	1.04945	1.71496	1.01114	1.76063	0.893191	1.32633	1.36064	1.65401	2.18057	1.51202	1.41676	1.72098	0.972116	2.11068	1.58846	1.34735	1.48931	1.98513
CCDC102A	0.719579	0.223395	0.996283	0.587161	0.606297	0.479339	0.0945952	0.820868	0.891764	0.763746	0.300923	0.946904	0.457106	0.737797	1.23272	2.9161	0.979036	0.684926	0.955845	1.08622	0.93863	0.596716	0.690894	0.540504
CCDC102B	0.329062	0.228843	0.121344	0.341241	0.129254	0.245692	0.121103	0.864937	0.0714263	0.139864	0.231198	0.161766	0	0.0787606	0.12134	0	0.118821	0.175281	0	0.248696	0.171723	0.0636149	0.136085	0
CCDC103	0	0	0.376464	0.390954	0	0.619996	0.171311	0.174598	0.229282	0.0991721	0.480143	0.115607	0	0.115521	0.265454	0	0.593366	0.616141	0.412131	0.219424	0.0852542	0	0.0991424	0.0888268
CCDC105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179552	0	0.174286	0	0	0	0	0	0.468719
CCDC106	2.198507	1.274618	0.743527	0.6090552	0.503288	0.960463	0.811171	1.51232	0.876932	1.16831	0.857843	1.44536	0.837869	0.526132	1.556641	1.005774	1.3213	1.106541	2.52932	2.272917	1.723106	1.34477	1.13601	2.380416
CCDC107	40.3171	47.399	48.7788	58.6672	81.1547	44.1325	57.6312	57.2608	61.9824	55.1675	30.3314	54.5145	80.6743	66.7904	84.585	68.4091	74.7199	66.339	58.2647	52.6108	48.993	78.7274	74.5472	77.5977
CCDC110	0.132833	0	0.0817882	0.184065	0	0	0	0.0416121	0	0	0	0	0.168801	0.0529533	0.0408564	0	0.120771	0.078698	0	0.23378	0.115503	0	0.0915702	0
CCDC112	6.377	3.311477	3.330624	3.444433	3.60229	1.61307	1.07093	5.719339	2.418517	3.10332	2.42233	2.55771	2.63918	2.128948	3.22278	2.7384	1.72974	2.188423	2.939238	5.51118	2.52728	3.675401	2.794922	1.69007
CCDC113	0.08878680106688	0.0813507	0	0	0	0	0	0	0	0.0945174	0	0.230299	0	0.112083	0	0	0.0837039	0	0	0	0	0.090297	0.1835600123387	0
CCDC115	19.7322	22.8856	24.6598	27.3772	13.7661	18.5113	20.162	22.2546	22.3909	29.4763	17.9791	21.4366	23.2101	14.0871	33.0871	18.8297	32.9788	21.8646	25.6165	19.4693	21.9722	20.3282	29.4539	29.477
CCDC116	0	0	0	0	0	0	0	0	0.143634	0	0	0	0	0	0	0	0	0	0	0	0	0.0639601	0.068413	0
CCDC117	7.336936	8.05561	4.941559	6.774192	8.266391	14.746018	17.579761	14.885324	14.48749	14.939738	4.81029	8.474616	8.783625	7.643623	5.651143	3.483548	3.385753645	5.945613	3.407945347	9.984129	8.498633	6.7397486542	6.055762	5.69815865707
CCDC12	37.29369	37.204014	48.24672	39.80696	38.755515	21.347752	23.3188	36.3933	25.149	38.05485	42.443751	37.6619	44.2993	40.9561	47.587913	41.0207	48.76804	47.6811	51.970391	31.4028	38.465927	23.989	38.17292	34.9448
CCDC120	6.0415	6.068569	9.36341	6.09662	6.72253	2.181119	2.480285	8.82323	5.190803	5.733945	5.664839	7.57057	8.09179	8.24291395792	11.876880465789	10.37675	10.21228	11.81062	9.6558	11.75687	18.96977728	8.92671434821	17.22417	10.029959
CCDC121	1.32963	1.99066	4.96781	3.20773	3.40037	0.758681	0.543656	1.37543	0.962492	0.471256	2.31634	2.36125	1.59424	0.70739	1.83796	1.11683	1.35996	1.68609	1.02956	0.938064	0.706792	0.999132	0.763669	1.1285
CCDC122	0.846431	1.28778	2.23582	0.87424	2.90089	1.08852	0.778409	1.71642	1.15102	0.451144	2.10651	0.781621	2.0127	2.40879	2.14207	1.35223	0.942645	1.9688	2.71531	0.802614	1.47308	1.22425	2.2965	0.605092
CCDC124	68.1814	62.2076	74.7582	77.1357	65.9355	48.6441	53.0696	73.4005	49.3649	82.9999	63.391	74.2253	71.0837	60.9782	89.8944	95.0803	86.5993	77.4316	80.1787	51.7603	69.6048	76.6463	83.5611	86.6312
CCDC125	1.67596	2.38934	3.028	3.82311	1.90894	1.752	1.41861	0.629282	1.45524	1.06863	1.96256	3.62536	2.46869	2.64762	2.28649	1.90041	2.78266	2.20194	2.96774	1.67216	1.16616	2.33263	1.80205	2.36925
CCDC126	4.667956	3.21079	2.832095	2.56004	2.90693	2.942006	2.96614	2.19892	3.86954	4.287401	3.782514	3.542382	4.30767	3.393102	2.867373	1.041698	1.470406	2.612661	2.245274	3.256082	4.559102	3.072323	1.618517	2.226042
CCDC127	28.48186	24.96518	25.34119	30.50735	28.6405	26.02639	28.087737	31.75569	26.07485	31.18716	28.60684	38.0908	34.2014	29.1454	38.243473	29.48167	32.80235	37.0104	35.13343	30.4718	34.54255	35.8514	38.9942	27.5057
CCDC13	0.0452047	0.0785887	0.157913	0	0	0.126431	0	0	0.0446666	0	0.105862	0.0555041	0	0.108127	0.114109	0.206886	0.187558	0.0401711	0.0800692	0.136397	0.654044	0.175003	0.420691	0.197121
CCDC134	32.7836	38.4148	28.1657	36.7146	42.0832	37.1292	25.0941	30.7181	33.4415	29.4026	29.8091	31.7092	37.3201	29.1534	31.8615	32.4432	35.2408	34.6494	28.0223	29.415	34.0186	25.9237	34.5171	31.7403
CCDC136	0.96265	1.02495	0.892179	0.607736	0.8968613	0.8259623	0.539557	0.3773317	0.397999	1.262574	0.965677	0.8345329	0.334577	0.978921	1.2100259	1.651707	0.9938811	3.0688312	1.413877	1.475467	1.9474562	1.239623	0.909491	0.8474645
CCDC137	23.0573	18.2372	25.8795	23.1301	20.6787	15.9221	14.1986	18.6437	16.629	15.1045	12.7049	20.0855	18.368	15.4087	15.0585	17.1112	23.329	17.4413	16.7046	20.1052	15.5893	17.1499	20.424	15.2834
CCDC138	0.161545	0	0.263221	0.295953	0.192848659004	0.0443139	0.0495506	0.178863	0	0.0571646	0	0	0	0	0	0.089756514782	0	0	0.128723	0.074007620848	0.0468285	0.18412	0	0
CCDC14	1.08356	1.02746	1.02521	0.794966	0.509333	0.504545	0.249353	0.53285	0.453251	1.01721	0.893835	1.3896	1.34654	0.971303	0.841489	0.789658	0.405678	0.963843	0.80717	0.852886	0.727888	0.334101	1.14607	0.447964
CCDC141	0.319488	0.113603	0.215144	0.0454135	0.0715648	0.270339	0.254015	0.123022	0.534248	0.292001	0.153023	0.338314	0.129309	0.0520546	0.389108	0.146417	0.0933501	0.323099	0.321656	0.502481	0.113608	0.450613	0.345456	0.0556446
CCDC142	0.588701	0.818527	2.356504	1.938811	0.9556	0.584136	1.339645	0.4289673	0.7468211	0.763536	0.767538	1.2920052009	0.834075	0.443159	0.843371	0.574642	0.8926055	1.651603	1.530553	0.729295	1.03122	0.896656	1.147611	0.464079
CCDC146	0	0.0651322	0	0.0779259	0.0368649	0.034914	0	0.0352221	0	0.0397207	0	0	0	0	0	0	0	0.199833	0.0331834	0.0282408	0	0.0362773	0.0387426	0
CCDC148	0.0320728	0.0278785	0.0296527	0.10012	0	0	0	0	0	0.0679783	0.112659	0	0.081548	0.15337	0.384935	0.0293742	0.263516	0.142596	0.0284093	0.0966564	0	0.0310663	0.0663354	0.276245
CCDC149	5.07949	15.74099	7.60971	6.052029	9.25616	11.23531	10.06448	8.85157	15.69802	10.66485	7.23777	13.42822	15.26377	9.40073	10.07849	7.02145	7.15281	14.07622	11.60738	6.449072	5.81263	10.96757	12.9378	9.16612
CCDC15	0.69459900475364	0.909289	0.898818	0.61563	0.719419	0.534709	0.5224876	0.690088	0.359961	0.943067	0.503915	0.913353	0.920604	0.72081	0.867423	0.466109	0.401132	0.748468	0.623936	0.893362	0.558997	0.663743	1.139048	0.3843
CCDC150	0.0202738	0	0.0750515	0	0	0	0	0	0.0219439	0	0	0	0	0	0	0	0	0.0180376	0	0	0	0	0	0.0194146
CCDC152	0.562419	0	0.514522	0	0	0	0	0.350486	0	0	0	0	0	0	0	0.170784	0	0	0	0	0	0	0	0
CCDC153	0	0.330805	0	0	0	0.178847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.165518	0	0	0
CCDC154	1.5371	0.353875	1.03338	0.528499	0.350166	0.332189	0.234136	0.382457	0.331073	0.216033	0.0595856	0.187492	0.258608	0.0608703	0.375532	0.565821	0.369317	0.361668	0	1.69218	0.663774	1.43154	0.89056	0.832551
CCDC157	0.0506483	1.046342	0.494094	0.918422	0.910469	2.219364	2.81166	1.10724	0.6041113	2.8558	0.591157	1.679491	1.994825	2.81752	3.924623	3.38939	5.10064000139213	4.684790358152	4.574944	1.68156	3.31644	4.52072	2.6185074	5.54294437
CCDC158	0.0632273	0.219835	0.233835	0.0657939	0	0.0589038	0.0872938	0.11892	0.0342409	0.100504	0	0.0387924	0.0803817	0.037793	0.116748	0	0.0288648	0.0843347	0.0560055	0.0476343	0.192396	0.367468	0.130772	0.0302552
CCDC159	0.709943	1.138081	2.760713	1.393283	0.92572	0.280997	0.380168	1.04254	0.3515922	0.133501	0.543814	1.279334	1.623921	0.874014	1.993791	1.683153	2.085734	1.67127	0.557425	0.747567	0.4379344	0.758609	1.770431	1.1725375
CCDC160	0	0.137753	0	0	0	0	0	0	0	0	0	0	0	0	0.0813233	0	0	0.0783096	0	0	0.0768225	0	0	0
CCDC162P	0	0	0	0.0451759	0	0	0	0	0.0471107	0.0922085	0	0	0	0.0519807	0.0401084	0	0.158118	0	0.0384951	0	0	0	0	0
CCDC163	3.595425	8.443371	6.72565	7.853315	5.951659	8.9859	10.498115	5.600144	6.799478	5.196927	5.5077008	7.154393	5.798105	4.991288	7.290419	6.766878	3.5934754	9.082008	7.317407	5.350674	10.389368	9.788812	8.440130268	5.676368
CCDC166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0888943	0.152315	0	0.193768	0	0.0957678
CCDC167	39.5353	46.8157	103.692	45.1359	59.0824	39.573	32.5136	66.195	34.2147	47.9511	56.396	54.1285	41.7377	40.477	36.927	64.0619	44.2842	70.7973	42.9628	32.3246	47.2607	49.5018	59.46	49.0031
CCDC169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC17	0.175874	0	0.324473	0.365031	0.863977	0.601633	0.107886	0.715706	0.508787	0.186776	0.0686477	0	0.446783	0.070143	0.162183	0.107259	0.159144	0.208254	0.103822	0.17711	0.050985	0	0.242457	0.112046
CCDC170	0.521153	1.11917	0.481887	0.861396	0.63377	0.571167	1.26976	0.95142	0.664037	0.0649681	0.610197	0.78993	0.701544	0.403118	0.254737	0.140392	0.47599	0.381658	0.380168	0.230937	0.266522	0.356358	0.190217	0.850868
CCDC171	0.150366	0.0871311	0	0.0522352	0.131712	0.0311052	0.0769022	0.0943441	0.108479	0.335995	0.078244	0.245847	0.31876	0.219601	0.262394	0.153119	0.199303	0.475745	0.0888106	0.389659	0.0580914	0.145784	0.138236	0.496074
CCDC172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.168069	0	0	0.366026
CCDC174	11.4577	12.1921	13.222	13.4405	11.1189	7.59872	12.7253	7.517	12.4765	11.7922	7.74903	13.2218	11.1066	10.1015	10.2967	11.9772	12.7754	12.6371	7.47886	9.72703	9.70584	8.84039	12.4091	12.5602
CCDC175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC177	0.0948773	0.0810605	0.165415	0.102775	0.0459284	0.0652377	0.188868	0.0703437	0.15144	0.296285	0.0618666	0.207371	0.0592961	0.111458	0.0215327	0.0220156	0.0640393	0.214093	0.300914	0.158082	0.16927	0.0698084	0.183771	0.147136
CCDC178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0369348	0	0	0
CCDC18	0.0639295	0.0555677	0.0788799	0.22198	0.146948	0.198419	0.137315	0.180458	0.230667	0.361021	0.199601	0.261366	0.0542015	0.229203	0.078732	0.156209	0.195242	0.075834	0.283174	0.0641567	0.0370493	0.247857	0.0881561	0.0816225
CCDC180	0	0	0	0.0233209	0	0	0	0.0210663	0	0	0.0262152	0	0.0284737	0.0535181	0.0413599	0	0.06152	0.0199187	0.0198352	0.0505621	0	0	0.0463124	0.0214389
CCDC181	0.397297	0.518055	0.793547	0.512209	0.650217	0.370806	0.121845	0.27761	0.862393	0.313958	0.852929	1.30209	1.12645	1.584894	0.384275	0.605537	1.255101	1.29325	0.703528	0.850785	0.633516	0.628908	0.814124	0.677984
CCDC182	0	0	0	0	0	0	0	0	0	0.285271	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC183	1.719222	2.635114	4.966677	5.004196	2.730746	2.940371	2.521197	2.546824	2.841236	3.378692	1.844257	1.039904	2.772446	1.951966	3.55888	3.592633	12.23413	7.6275	2.117749	2.166953	2.577905	3.000666	4.66418	2.928461
CCDC184	0.44134	0.12788	0.0905443	0.0509388	0.0482123	0.0457266	0.361012	0.0921484	0.0531679	0.312227	0.344519	0.180663	0.124613	0.351929	0.0904786	0.134635	0.445144	0.784249	0.477699	0.370038	0.511711	0.189797	0.202822	0.187544
CCDC185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC186	4.69214	3.454741	2.85021	2.804353	3.40588	3.65366	3.25943	4.09183	5.35573	4.692486	3.01824	4.76511	3.81346	4.101063	2.91956	2.36373	2.28257	2.952209	2.9545	3.809001	4.88664	3.39192	3.17284	1.88446
CCDC188	0	0.113343	0	0.805897	0	0	0	0	0	0	0	0	0	0	0.11984	0	0	0	0	0	0	0.37654	0.134718	0
CCDC190	1.856797	3.462591	3.222108	4.44653	5.22925	2.34077	1.282328	2.645456	1.117038	2.644893	2.409169	2.007963	3.22527	1.894899	6.49006	3.661379	3.885463	2.823665	2.505215	1.118269	2.74671	2.183378	3.392015	2.186731
CCDC191	0.354656195884	0.210742	0.426185	0.1347820667468	0.345055	0.187259	0.401721	0.190648298115	0.50925311216	0.102712	0.385585372513	0.773262	0.562207	0.33007	0.372157	0.357745	0.270515	0.283278	0.462048307741	0.3828800936177	0.287417	0.60136305248	0.532217230710932	0.372222
CCDC192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0666736	0	0
CCDC194	0	0.125379	0.332228	0.597884	0.21235	0.336633	0.199033	0.406047	0.469767	0.459998	0.168894	0	0.183113	0.172638	0.265844	0.13186	0.58467	0.192006	0.446911	0.163601	0.188179	0.209037	0.298216	0
CCDC196	0	0	0.230193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC198	1.607819	1.397929	1.326887	2.97692	1.56675	1.66411	5.04057	0.599864	4.04065	2.75873	3.00661	5.5527	3.8795769	6.18036	5.31911	1.17455888	0.986544	0.712277	0.42738948	2.57679	2.24832	2.634	2.49897	0.919235
CCDC22	15.59682	13.716429	9.49385	11.423361	11.6425	13.84065	14.27323	9.177355	13.37526	14.18965	13.976093	15.07986	12.48784	12.429452	13.956364	14.1809	12.747717	14.27441	10.95042	14.53843	9.22809	10.05695	14.75635	14.17318
CCDC24	0	0	0.0834328	0.0942507	0	0	0	0	0	0.0970174	0	0	0	0.217241	0	0.248545	0.081569712	0.161589857	0	0.137404	0	0.175062	0.28255712	0.086918121
CCDC25	28.6651	29.02621	32.0396	32.2996	31.461400465419	24.2102	32.3368	27.4257	27.34165	28.3436	36.611	36.7736	37.2256	33.49431	49.8932	36.5748	35.4179	42.9109	35.3497	25.6058	30.8368	33.4809000079124	37.2684	39.8332
CCDC27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC28A	21.16439	24.30216	27.56618	21.75417	19.030023	21.92766	25.03446	22.8974	30.0662	19.15061	20.12836	23.78788	23.74221	22.78416	26.9819	15.8425	27.41857	13.76412	20.338	28.37199	21.88753	19.79234	26.02737	15.90265
CCDC3	1.56861	0.779176	0.413513	1.97719	0.550513	0.261292	0.309296	1.42066	0.607653	0.832751	0.721592	0.412918	0.284655	1.40749	2.17	2.35769	2.48608	1.39323	0.44647	0.846026	1.90007	1.02949	0.289621	0.85669
CCDC30	0.362917	0.5215352	0.465777	0.313792	0.297097	0.240524	0.2911027	0.6034706	0.663789	0.273677	0.581463	0.5013959	0.7801243	0.768437	1.282198	0.97559429	0.406196	1.233783	0.428463	0.8829907	1.8378516	2.245406	2.102532	0.66851704
CCDC32	10.57257	13.52766	12.3049	16.226812	14.24612	7.950832	11.058744	8.73115	10.95451	11.94297	13.710441	13.02242	16.71917	8.963152	8.674555	11.61729	15.24134	11.136759	10.44064	9.135912	8.58977	12.272027	14.631601	10.543955
CCDC34	2.40632	3.34702	4.65288	4.40213	2.3228	1.72311	2.28738	4.93656	4.79199	3.642596	2.71596	2.56472	1.447463	2.521909	5.39448	3.81193	3.617494	6.11982	3.33726	4.49195	5.28253	1.31689	3.59206	4.439426
CCDC38	0.907856	0.157838	2.73525	2.70028	0.416193	0.395299	0.445511	0.568321	4.72794	0.835708	0.850463	0.594923	1.22994	0.869033	0.781306	0.608981	0.985173	0.322471	1.28619	0.548637	0.894842	1.46305	2.06504	1.21446
CCDC39	0	0.0480206	0.0766449	0	0.0543989	0.0257286	0.025426	0	0	0.0585261	0	0.135557	0	0.0330181	0.0255071	0	0.126274	0.0245676	0.0244691	0.0416059	0	0	0.0285668	0.0528834
CCDC40	0.0896762	0.233845	0.442267	0.497775	0.588581	0.55691	0.13757	0.196795	0.129492	0.506762	0.174997	0.586832	0.190022	0.178665	1.49038	0.520212	0.628099	0.531658	0.476611	1.14834	0.441793	0.463325	1.82387	0.371934
CCDC42	0	0	0	0	0	0	0	0	0	0.462575	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC43	9.79994	9.82224	8.94508	8.45154	6.94758	8.59098	9.11637	6.94187	9.11815	13.0751	8.33992	13.0898	10.3408	8.32818	6.66815	5.83093	5.87322	7.9917	8.72562	7.35768	8.47577	11.2411	8.02881	7.42242
CCDC47	39.2536	28.9212	23.5425	25.7733	28.1024	39.7722	39.0461	31.6546	52.0801	49.2125	44.993	43.5655	39.8805	41.1685	24.4141	18.7857	14.9281	36.5579	28.6913	33.4311	35.4937	35.317	16.5118	22.0471
CCDC50	8.29902	8.23347	11.31522	13.8478	11.05519	5.94479	8.72668	8.87287	8.12336	12.13248	12.93439	9.79613	8.66686	10.50791	10.05904	4.90586	6.1066	8.27647	7.19271	6.75342	7.00287	6.06026	7.41961	6.60714
CCDC51	12.51405	20.10547	22.53629	22.30488	19.39656	14.29229	17.2369	19.14959	13.14426	20.86803	22.83917	21.60926	21.54589	18.12331	23.3512	18.30435	21.31399	24.48459	21.00806	11.91203	17.59077	20.77235	23.7318	21.76635
CCDC54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC57	0.9588708036	0.706286	2.089228	1.577957	1.46451	0.756819207278	0.802777	0.7095900108272	0.879866	1.480487	1.35982	1.92251	1.17165	0.9365270714297	2.38457	2.42338	2.73374	2.25815500082342	1.62059	1.463719	0.982096	1.34937000065919	2.393357	2.020156
CCDC59	14.9073	16.4195	14.1179	13.3978	16.2455	8.37932	7.57224	12.3382	24.7137	10.2741	19.6652	22.0127	18.8816	14.8095	14.6555	22.333	13.0497	21.8287	22.7187	11.7874	17.9336	14.1714	13.2935	15.9658
CCDC6	3.26051	2.21265	1.98527	1.90782	1.87274	1.68807	2.80893	2.01832	3.03792	2.39931	1.83727	2.39471	2.79428	2.22932	2.04565	1.88554	0.975736	1.92384	2.47154	2.24329	2.30376	2.75534	1.94756	1.97055
CCDC60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC61	1.893074	2.03243	2.42588	4.39232	4.08611	0.919629865	1.68854	1.04108	1.72565	1.952115	3.66347	2.718974	2.42521043	2.491211	2.768865	3.530271	3.886976	2.284699	3.360607	2.06095	1.80885	2.714984	2.597848	3.039330915145
CCDC62	0.474173	1.208275	0.980289	1.155546	1.44863900120968	0.252048	0.487807	0.288593	0.868927	0.295493	1.40429	0.684411	0.6674937	0.71187400182374	1.101953	1.298388	0.836236	0.982013	1.44408	0.672208	0.290987	1.13501	0.576912	0.93448
CCDC63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.192291	0	0	0.188459	0.0697821	0	0
CCDC65	0	0	0	0	0.12908	0	0.0604696	0.0616979	0	0.0698369	0	0	0	0	0	0	0.0593316	0.0583481	0.116383	0	0	0.0635292	0.135901	0
CCDC66	6.39606	5.042727	5.77497	6.286431	6.460072	4.531029	2.92192	2.319126	4.181928569	4.11281723	4.10939	4.72895	3.730181	2.147048	6.22212	4.287515	2.576899	3.892004	3.180567	4.540339	4.53366	2.326844	4.16880000038029	4.222111
CCDC68	5.42212	5.75524	3.3268	3.64697	7.73932	1.36439	2.94099	2.47469	5.26247	5.91922	9.39844	6.30701	6.8755	3.89035	4.49362	3.7899	3.83166	8.55866	3.13478	5.96227	3.17061	5.94568	4.59887	5.83648
CCDC69	1.48495	2.49833	1.99023	2.23938	1.22457	0.625301	1.1902	0.900184	1.09058	0.559102	1.62659	1.29409	1.88681	1.03129	3.44707	1.92898	1.60948	2.85166	2.03623	1.08428	1.6245	1.71506	2.8728	2.56493
CCDC7	0.631484	0.219612	0.810857	0	0.987922	0	0	1.41827	1.10051	0.539408	0.887536	0.466943	0.480183	0.454293	0.464489	0	0	0.111803	0.335214	0.19198	0.549634	0.608139	0.130519	0.120248
